transaction_id,contract_id,counterparty_id,transaction_type,accounting_period,transaction_date,currency,original_amount,exchange_rate,converted_amount_usd,processing_timestamp
TX000059,CTR0397,CP003,CLAIM,2025-03,2025-03-30,BRL,11077.03,0.2,2215.41,2025-04-01 06:56:00
TX000060,CTR0426,CP010,COMMISSION,2025-02,2025-02-07,GBP,3700.38,1.27,4699.48,2025-02-09 20:41:00
TX000061,CTR0269,CP031,PREMIUM,2025-07,2025-07-23,USD,11390.38,1.0,11390.38,2025-07-25 22:35:00
TX000062,CTR0022,CP019,CLAIM,2025-05,2025-05-13,EUR,5664.58,1.1,6231.04,2025-05-16 00:41:00
TX000063,CTR0247,CP038,PREMIUM,2025-05,2025-05-14,USD,7650.77,1.0,7650.77,2025-05-16 07:08:00
TX000064,CTR0091,CP022,COMMISSION,2025-03,2025-03-02,USD,1910.13,1.0,1910.13,2025-03-04 15:15:00
TX000065,CTR0445,CP026,CLAIM,2025-07,2025-07-22,EUR,7172.91,1.1,7890.2,2025-07-23 13:20:00
TX000066,CTR0119,CP013,PREMIUM,2025-05,2025-05-21,BRL,13489.41,0.2,2697.88,2025-05-23 17:11:00
TX000067,CTR0115,CP026,CLAIM,2025-02,2025-02-26,GBP,2791.57,1.27,3545.29,2025-02-28 22:40:00
TX000068,CTR0125,CP043,PREMIUM,2025-06,2025-06-11,BRL,36182.69,0.2,7236.54,2025-06-12 10:24:00
TX000069,CTR0322,CP006,PREMIUM,2025-02,2025-02-06,EUR,5067.54,1.1,5574.29,2025-02-06 20:56:00
TX000070,CTR0286,CP047,CLAIM,2025-03,2025-03-07,USD,25909.37,1.0,25909.37,2025-03-09 21:42:00
TX000071,CTR0475,CP032,CLAIM,2025-08,2025-08-16,EUR,3386.52,1.1,3725.17,2025-08-18 10:22:00
TX000072,CTR0209,CP014,CLAIM,2025-07,2025-07-01,GBP,27235.34,1.27,34588.88,2025-07-01 14:52:00
TX000073,CTR0142,CP011,PREMIUM,2025-02,2025-02-04,BRL,9899.73,0.2,1979.95,2025-02-04 14:11:00
TX000074,CTR0025,CP040,COMMISSION,2025-03,2025-03-10,USD,1973.14,1.0,1973.14,2025-03-10 18:17:00
TX000075,CTR0004,CP022,PREMIUM,2025-01,2025-01-17,EUR,3485.26,1.1,3833.79,2025-01-19 09:43:00
TX000076,CTR0187,CP009,COMMISSION,2025-12,2025-12-03,USD,1284.61,1.0,1284.61,2025-12-03 15:05:00
TX000077,CTR0463,CP038,PREMIUM,2025-06,2025-06-07,EUR,12405.98,1.1,13646.58,2025-06-08 02:01:00
TX000078,CTR0262,CP009,PREMIUM,2025-03,2025-03-03,USD,6567.41,1.0,6567.41,2025-03-05 02:20:00
TX000079,CTR0447,CP016,CLAIM,2025-05,2025-05-06,EUR,18270.64,1.1,20097.7,2025-05-06 21:52:00
TX000080,CTR0051,CP038,COMMISSION,2025-07,2025-07-07,EUR,1064.45,1.1,1170.9,2025-07-07 02:48:00
TX000081,CTR0047,CP023,COMMISSION,2025-01,2025-01-20,GBP,650.54,1.27,826.19,2025-01-22 15:57:00
TX000082,CTR0417,CP049,CLAIM,2025-05,2025-05-06,USD,3275.19,1.0,3275.19,2025-05-06 16:32:00
TX000083,CTR0054,CP024,PREMIUM,2025-06,2025-06-19,GBP,8768.75,1.27,11136.31,2025-06-21 17:28:00
TX000084,CTR0026,CP033,COMMISSION,2025-06,2025-06-04,BRL,2282.0,0.2,456.4,2025-06-05 09:05:00
TX000085,CTR0203,CP025,PREMIUM,2025-12,2025-12-27,USD,4182.14,1.0,4182.14,2025-12-28 06:28:00
TX000086,CTR0463,CP038,CLAIM,2025-05,2025-05-23,GBP,72643.74,1.27,92257.55,2025-05-24 02:21:00
TX000087,CTR0345,CP046,COMMISSION,2025-03,2025-03-08,EUR,2994.3,1.1,3293.73,2025-03-08 02:29:00
TX000088,CTR0050,CP039,CLAIM,2025-12,2025-12-24,EUR,35185.97,1.1,38704.57,2025-12-24 00:28:00
TX000089,CTR0419,CP015,COMMISSION,2025-12,2025-12-21,BRL,2506.35,0.2,501.27,2025-12-22 19:49:00
TX000090,CTR0422,CP035,COMMISSION,2025-08,2025-08-31,USD,1257.57,1.0,1257.57,2025-08-31 16:57:00
TX000091,CTR0401,CP050,COMMISSION,2025-10,2025-10-27,USD,7011.51,1.0,7011.51,2025-10-28 00:33:00
TX000092,CTR0452,CP047,CLAIM,2025-01,2025-01-18,GBP,9523.94,1.27,12095.4,2025-01-18 03:55:00
TX000093,CTR0120,CP006,COMMISSION,2025-08,2025-08-06,USD,4414.31,1.0,4414.31,2025-08-08 01:57:00
TX000094,CTR0490,CP031,PREMIUM,2025-11,2025-11-01,EUR,4584.99,1.1,5043.49,2025-11-01 17:25:00
TX000095,CTR0161,CP050,PREMIUM,2025-01,2025-01-01,BRL,1029.76,0.2,205.95,2025-01-01 02:19:00
TX000096,CTR0402,CP039,PREMIUM,2025-07,2025-07-19,GBP,7940.36,1.27,10084.26,2025-07-20 13:58:00
TX000097,CTR0290,CP024,PREMIUM,2025-02,2025-02-26,EUR,5944.49,1.1,6538.94,2025-02-26 21:39:00
TX000098,CTR0390,CP008,PREMIUM,2025-02,2025-02-12,USD,8906.44,1.0,8906.44,2025-02-13 02:12:00
TX000099,CTR0314,CP015,COMMISSION,2025-08,2025-08-28,USD,2883.07,1.0,2883.07,2025-08-30 03:47:00
TX000100,CTR0322,CP006,CLAIM,2025-06,2025-06-22,USD,3493.65,1.0,3493.65,2025-06-24 12:51:00
TX000101,CTR0309,CP016,CLAIM,2025-06,2025-06-06,EUR,3166.81,1.1,3483.49,2025-06-08 08:29:00
TX000102,CTR0390,CP008,CLAIM,2025-02,2025-02-18,USD,17626.26,1.0,17626.26,2025-02-19 03:54:00
TX000103,CTR0370,CP039,CLAIM,2025-05,2025-05-01,USD,31378.51,1.0,31378.51,2025-05-01 09:50:00
TX000104,CTR0068,CP019,CLAIM,2025-07,2025-07-23,BRL,13245.45,0.2,2649.09,2025-07-24 05:35:00
TX000105,CTR0414,CP007,PREMIUM,2025-06,2025-06-02,USD,7704.89,1.0,7704.89,2025-06-02 13:16:00
TX000106,CTR0269,CP031,COMMISSION,2025-05,2025-05-16,BRL,1548.43,0.2,309.69,2025-05-16 22:43:00
TX000107,CTR0162,CP034,COMMISSION,2025-12,2025-12-19,BRL,3276.19,0.2,655.24,2025-12-21 22:38:00
TX000108,CTR0258,CP006,PREMIUM,2025-01,2025-01-25,BRL,13220.34,0.2,2644.07,2025-01-25 11:43:00
TX000109,CTR0484,CP040,PREMIUM,2025-06,2025-06-01,USD,30463.41,1.0,30463.41,2025-06-01 08:00:00
TX000110,CTR0429,CP002,PREMIUM,2025-08,2025-08-27,BRL,3889.5,0.2,777.9,2025-08-27 14:55:00
TX000111,CTR0417,CP049,CLAIM,2025-08,2025-08-02,EUR,6899.15,1.1,7589.06,2025-08-03 03:52:00
TX000112,CTR0232,CP043,COMMISSION,2025-03,2025-03-27,BRL,1697.0,0.2,339.4,2025-03-29 19:00:00
TX000113,CTR0393,CP019,COMMISSION,2025-07,2025-07-26,GBP,4193.46,1.27,5325.69,2025-07-27 11:54:00
TX000114,CTR0193,CP031,COMMISSION,2025-10,2025-10-07,BRL,1878.35,0.2,375.67,2025-10-08 13:17:00
TX000115,CTR0344,CP026,CLAIM,2025-07,2025-07-06,BRL,3661.19,0.2,732.24,2025-07-06 10:59:00
TX000116,CTR0320,CP039,COMMISSION,2025-11,2025-11-26,USD,1186.4,1.0,1186.4,2025-11-28 18:14:00
TX000117,CTR0125,CP043,PREMIUM,2025-09,2025-09-06,EUR,13825.68,1.1,15208.25,2025-09-08 11:11:00
TX000118,CTR0134,CP028,COMMISSION,2025-03,2025-03-30,EUR,3773.01,1.1,4150.31,2025-03-31 19:00:00
TX000119,CTR0031,CP023,PREMIUM,2025-08,2025-08-25,USD,3503.63,1.0,3503.63,2025-08-25 15:42:00
TX000120,CTR0070,CP024,COMMISSION,2025-04,2025-04-22,GBP,4239.5,1.27,5384.16,2025-04-23 01:59:00
TX000121,CTR0217,CP004,PREMIUM,2025-04,2025-04-03,GBP,5525.73,1.27,7017.68,2025-04-04 17:19:00
TX000122,CTR0239,CP016,COMMISSION,2025-01,2025-01-18,GBP,2188.75,1.27,2779.71,2025-01-21 00:13:00
TX000123,CTR0083,CP009,CLAIM,2025-10,2025-10-01,GBP,58467.46,1.27,74253.67,2025-10-02 19:50:00
TX000124,CTR0209,CP014,CLAIM,2025-06,2025-06-25,USD,20876.13,1.0,20876.13,2025-06-25 04:22:00
TX000125,CTR0303,CP001,PREMIUM,2025-10,2025-10-27,GBP,7025.17,1.27,8921.97,2025-10-27 07:32:00
TX000126,CTR0117,CP002,PREMIUM,2025-11,2025-11-03,BRL,14362.98,0.2,2872.6,2025-11-05 19:19:00
TX000127,CTR0170,CP002,COMMISSION,2025-04,2025-04-10,GBP,2242.71,1.27,2848.24,2025-04-12 03:53:00
TX000128,CTR0184,CP035,PREMIUM,2025-02,2025-02-10,USD,2816.05,1.0,2816.05,2025-02-11 06:54:00
TX000129,CTR0253,CP010,PREMIUM,2025-09,2025-09-23,EUR,2631.5,1.1,2894.65,2025-09-25 22:59:00
TX000130,CTR0184,CP035,CLAIM,2025-03,2025-03-03,EUR,5940.19,1.1,6534.21,2025-03-05 09:59:00
TX000131,CTR0369,CP002,COMMISSION,2025-09,2025-09-06,BRL,3418.51,0.2,683.7,2025-09-07 09:28:00
TX000132,CTR0164,CP021,CLAIM,2025-09,2025-09-29,BRL,11353.97,0.2,2270.79,2025-10-01 10:18:00
TX000133,CTR0217,CP004,PREMIUM,2025-09,2025-09-14,USD,7824.18,1.0,7824.18,2025-09-14 01:28:00
TX000134,CTR0190,CP016,PREMIUM,2025-08,2025-08-21,GBP,636.99,1.27,808.98,2025-08-21 22:59:00
TX000135,CTR0092,CP041,COMMISSION,2025-03,2025-03-22,EUR,685.28,1.1,753.81,2025-03-24 07:58:00
TX000136,CTR0343,CP032,PREMIUM,2025-03,2025-03-14,GBP,17025.44,1.27,21622.31,2025-03-14 05:16:00
TX000137,CTR0118,CP007,CLAIM,2025-08,2025-08-29,EUR,54259.23,1.1,59685.15,2025-08-29 06:38:00
TX000138,CTR0149,CP042,COMMISSION,2025-03,2025-03-04,BRL,2612.04,0.2,522.41,2025-03-06 09:50:00
TX000139,CTR0397,CP003,CLAIM,2025-06,2025-06-23,EUR,14388.11,1.1,15826.92,2025-06-25 02:56:00
TX000140,CTR0475,CP032,PREMIUM,2025-01,2025-01-26,BRL,13014.84,0.2,2602.97,2025-01-28 05:52:00
TX000141,CTR0336,CP041,COMMISSION,2025-04,2025-04-03,GBP,1999.72,1.27,2539.64,2025-04-05 22:43:00
TX000142,CTR0459,CP043,COMMISSION,2025-01,2025-01-07,EUR,1275.89,1.1,1403.48,2025-01-07 19:23:00
TX000143,CTR0428,CP041,CLAIM,2025-04,2025-04-17,EUR,22641.59,1.1,24905.75,2025-04-17 01:00:00
TX000144,CTR0241,CP008,COMMISSION,2025-06,2025-06-04,EUR,2463.3,1.1,2709.63,2025-06-06 13:12:00
TX000145,CTR0386,CP007,COMMISSION,2025-02,2025-02-05,BRL,6827.41,0.2,1365.48,2025-02-06 13:20:00
TX000146,CTR0165,CP021,COMMISSION,2025-02,2025-02-09,GBP,914.7,1.27,1161.67,2025-02-10 16:13:00
TX000147,CTR0231,CP024,CLAIM,2025-10,2025-10-03,BRL,66475.95,0.2,13295.19,2025-10-05 11:41:00
TX000148,CTR0268,CP018,PREMIUM,2025-04,2025-04-17,USD,7298.24,1.0,7298.24,2025-04-19 07:28:00
TX000149,CTR0481,CP015,COMMISSION,2025-06,2025-06-10,BRL,2362.05,0.2,472.41,2025-06-12 02:59:00
TX000150,CTR0425,CP021,COMMISSION,2025-11,2025-11-15,USD,1469.96,1.0,1469.96,2025-11-16 10:42:00
TX000151,CTR0245,CP032,COMMISSION,2025-01,2025-01-19,EUR,1123.22,1.1,1235.54,2025-01-20 05:57:00
TX000152,CTR0327,CP012,CLAIM,2025-01,2025-01-19,EUR,50035.21,1.1,55038.73,2025-01-19 06:56:00
TX000153,CTR0102,CP010,COMMISSION,2025-05,2025-05-13,GBP,1345.45,1.27,1708.72,2025-05-15 19:58:00
TX000154,CTR0403,CP017,PREMIUM,2025-10,2025-10-18,BRL,13472.78,0.2,2694.56,2025-10-18 06:24:00
TX000155,CTR0277,CP024,PREMIUM,2025-12,2025-12-20,GBP,1646.97,1.27,2091.65,2025-12-22 14:09:00
TX000156,CTR0267,CP023,CLAIM,2025-05,2025-05-20,EUR,40925.57,1.1,45018.13,2025-05-22 01:26:00
TX000157,CTR0384,CP013,COMMISSION,2025-04,2025-04-19,BRL,2815.23,0.2,563.05,2025-04-20 01:45:00
TX000158,CTR0317,CP037,PREMIUM,2025-05,2025-05-31,BRL,12675.75,0.2,2535.15,2025-06-03 00:10:00
TX000159,CTR0037,CP043,PREMIUM,2025-07,2025-07-15,GBP,12557.25,1.27,15947.71,2025-07-16 08:01:00
TX000160,CTR0145,CP050,COMMISSION,2025-12,2025-12-22,USD,1726.65,1.0,1726.65,2025-12-24 08:29:00
TX000161,CTR0089,CP039,CLAIM,2025-03,2025-03-25,USD,17303.45,1.0,17303.45,2025-03-26 05:32:00
TX000162,CTR0368,CP016,COMMISSION,2025-07,2025-07-27,USD,2865.21,1.0,2865.21,2025-07-28 09:07:00
TX000163,CTR0018,CP007,CLAIM,2025-11,2025-11-20,EUR,27009.68,1.1,29710.65,2025-11-22 18:55:00
TX000164,CTR0102,CP010,CLAIM,2025-01,2025-01-14,GBP,50395.59,1.27,64002.4,2025-01-16 15:08:00
TX000165,CTR0299,CP015,PREMIUM,2025-08,2025-08-19,EUR,1768.12,1.1,1944.93,2025-08-20 08:47:00
TX000166,CTR0348,CP047,COMMISSION,2025-10,2025-10-17,BRL,1399.09,0.2,279.82,2025-10-18 11:43:00
TX000167,CTR0252,CP025,PREMIUM,2025-05,2025-05-08,USD,8262.33,1.0,8262.33,2025-05-08 03:35:00
TX000168,CTR0431,CP005,CLAIM,2025-07,2025-07-22,USD,23162.6,1.0,23162.6,2025-07-23 17:31:00
TX000169,CTR0460,CP006,CLAIM,2025-11,2025-11-01,EUR,15547.04,1.1,17101.74,2025-11-03 22:31:00
TX000170,CTR0067,CP046,COMMISSION,2025-10,2025-10-11,USD,3193.05,1.0,3193.05,2025-10-12 00:44:00
TX000171,CTR0477,CP043,COMMISSION,2025-08,2025-08-19,GBP,822.13,1.27,1044.11,2025-08-20 01:44:00
TX000172,CTR0308,CP028,COMMISSION,2025-02,2025-02-25,GBP,3177.16,1.27,4034.99,2025-02-27 01:00:00
TX000173,CTR0319,CP047,PREMIUM,2025-03,2025-03-15,GBP,5563.04,1.27,7065.06,2025-03-16 10:09:00
TX000174,CTR0048,CP045,PREMIUM,2025-04,2025-04-06,BRL,1556.67,0.2,311.33,2025-04-07 17:09:00
TX000175,CTR0311,CP034,COMMISSION,2025-09,2025-09-11,BRL,683.54,0.2,136.71,2025-09-11 22:21:00
TX000176,CTR0363,CP012,COMMISSION,2025-11,2025-11-29,GBP,2296.54,1.27,2916.61,2025-12-01 20:15:00
TX000177,CTR0291,CP041,CLAIM,2025-07,2025-07-07,USD,7941.71,1.0,7941.71,2025-07-08 03:57:00
TX000178,CTR0043,CP036,COMMISSION,2025-06,2025-06-06,GBP,1568.81,1.27,1992.39,2025-06-07 04:38:00
TX000179,CTR0262,CP009,PREMIUM,2025-12,2025-12-19,GBP,6222.68,1.27,7902.8,2025-12-22 00:04:00
TX000180,CTR0468,CP030,CLAIM,2025-07,2025-07-06,USD,26613.04,1.0,26613.04,2025-07-07 11:58:00
TX000181,CTR0362,CP045,PREMIUM,2025-09,2025-09-08,USD,11347.3,1.0,11347.3,2025-09-10 05:59:00
TX000182,CTR0069,CP004,COMMISSION,2025-08,2025-08-23,GBP,668.62,1.27,849.15,2025-08-23 12:29:00
TX000183,CTR0480,CP006,COMMISSION,2025-11,2025-11-10,EUR,2915.99,1.1,3207.59,2025-11-10 20:45:00
TX000184,CTR0480,CP006,PREMIUM,2025-07,2025-07-12,BRL,1306.04,0.2,261.21,2025-07-14 08:06:00
TX000185,CTR0085,CP032,COMMISSION,2025-05,2025-05-14,GBP,2440.28,1.27,3099.16,2025-05-14 19:30:00
TX000186,CTR0401,CP050,PREMIUM,2025-10,2025-10-01,EUR,12370.46,1.1,13607.51,2025-10-03 23:12:00
TX000187,CTR0204,CP035,COMMISSION,2025-01,2025-01-21,GBP,1643.43,1.27,2087.16,2025-01-21 06:45:00
TX000188,CTR0297,CP043,PREMIUM,2025-03,2025-03-23,BRL,19665.74,0.2,3933.15,2025-03-25 23:01:00
TX000189,CTR0223,CP036,COMMISSION,2025-02,2025-02-10,EUR,472.42,1.1,519.66,2025-02-12 01:44:00
TX000190,CTR0392,CP009,CLAIM,2025-12,2025-12-03,EUR,2396.85,1.1,2636.54,2025-12-04 10:24:00
TX000191,CTR0499,CP047,PREMIUM,2025-11,2025-11-17,USD,2749.33,1.0,2749.33,2025-11-17 11:11:00
TX000192,CTR0398,CP010,PREMIUM,2025-01,2025-01-20,EUR,2316.24,1.1,2547.86,2025-01-21 14:41:00
TX000193,CTR0466,CP049,CLAIM,2025-03,2025-03-30,EUR,4209.23,1.1,4630.15,2025-03-31 04:39:00
TX000194,CTR0474,CP024,PREMIUM,2025-07,2025-07-02,USD,17529.14,1.0,17529.14,2025-07-02 21:15:00
TX000195,CTR0046,CP049,CLAIM,2025-12,2025-12-19,GBP,38974.55,1.27,49497.68,2025-12-20 18:04:00
TX000196,CTR0127,CP004,COMMISSION,2025-12,2025-12-31,BRL,2476.75,0.2,495.35,2026-01-02 22:39:00
TX000197,CTR0361,CP043,COMMISSION,2025-08,2025-08-07,BRL,1989.47,0.2,397.89,2025-08-09 02:33:00
TX000198,CTR0296,CP027,CLAIM,2025-08,2025-08-29,USD,60385.34,1.0,60385.34,2025-08-29 08:26:00
TX000199,CTR0026,CP033,COMMISSION,2025-04,2025-04-30,GBP,436.24,1.27,554.02,2025-05-02 22:02:00
TX000200,CTR0048,CP045,COMMISSION,2025-06,2025-06-25,USD,2589.86,1.0,2589.86,2025-06-27 08:28:00
TX000201,CTR0261,CP040,CLAIM,2025-12,2025-12-07,GBP,17389.59,1.27,22084.78,2025-12-09 08:11:00
TX000202,CTR0309,CP016,PREMIUM,2025-12,2025-12-14,EUR,5418.36,1.1,5960.2,2025-12-15 16:59:00
TX000203,CTR0084,CP042,COMMISSION,2025-07,2025-07-18,USD,5036.83,1.0,5036.83,2025-07-18 04:36:00
TX000204,CTR0086,CP036,PREMIUM,2025-01,2025-01-29,EUR,19141.83,1.1,21056.01,2025-01-30 23:47:00
TX000205,CTR0065,CP021,CLAIM,2025-04,2025-04-28,EUR,31878.86,1.1,35066.75,2025-04-29 20:54:00
TX000206,CTR0283,CP034,COMMISSION,2025-06,2025-06-04,BRL,673.91,0.2,134.78,2025-06-05 22:24:00
TX000207,CTR0004,CP022,CLAIM,2025-04,2025-04-22,GBP,63296.55,1.27,80386.62,2025-04-23 03:08:00
TX000208,CTR0287,CP009,CLAIM,2025-11,2025-11-26,USD,2747.91,1.0,2747.91,2025-11-27 07:20:00
TX000209,CTR0238,CP022,CLAIM,2025-07,2025-07-11,USD,1644.95,1.0,1644.95,2025-07-12 16:58:00
TX000211,CTR0340,CP048,COMMISSION,2025-10,2025-10-19,GBP,1083.36,1.27,1375.87,2025-10-21 11:13:00
TX000212,CTR0262,CP009,COMMISSION,2025-05,2025-05-15,BRL,2252.5,0.2,450.5,2025-05-17 02:20:00
TX000213,CTR0364,CP045,COMMISSION,2025-10,2025-10-27,BRL,5085.78,0.2,1017.16,2025-10-28 12:04:00
TX000214,CTR0382,CP047,PREMIUM,2025-12,2025-12-23,EUR,7742.29,1.1,8516.52,2025-12-25 21:15:00
TX000215,CTR0461,CP037,PREMIUM,2025-05,2025-05-05,EUR,2607.94,1.1,2868.73,2025-05-05 13:47:00
TX000216,CTR0400,CP016,CLAIM,2025-10,2025-10-05,USD,4732.36,1.0,4732.36,2025-10-06 05:29:00
